PLR_ID,2018,2019,2020,total
01100101,20.0,16.0,19.0,55.0
01100102,63.0,68.0,40.0,171.0
01100103,13.0,10.0,11.0,34.0
01100104,15.0,10.0,13.0,38.0
01100205,37.0,50.0,33.0,120.0
01100206,78.0,80.0,61.0,219.0
01100207,50.0,42.0,39.0,131.0
01100308,72.0,56.0,53.0,181.0
01100309,81.0,68.0,54.0,203.0
01100310,116.0,81.0,68.0,265.0
01100311,34.0,33.0,31.0,98.0
01100312,26.0,33.0,25.0,84.0
01100313,28.0,25.0,26.0,79.0
01100415,34.0,34.0,28.0,96.0
01100416,52.0,26.0,32.0,110.0
01200517,10.0,15.0,16.0,41.0
01200518,2.0,4.0,0.0,6.0
01200519,6.0,0.0,4.0,10.0
01200520,15.0,26.0,12.0,53.0
01200522,15.0,20.0,18.0,53.0
01200623,18.0,10.0,12.0,40.0
01200624,5.0,6.0,9.0,20.0
01200625,4.0,3.0,3.0,10.0
01200626,14.0,15.0,13.0,42.0
01200627,2.0,4.0,1.0,7.0
01200628,21.0,17.0,28.0,66.0
01200629,11.0,6.0,8.0,25.0
01300730,3.0,0.0,3.0,6.0
01300732,10.0,12.0,11.0,33.0
01300733,40.0,33.0,35.0,108.0
01300834,17.0,15.0,17.0,49.0
01300835,16.0,20.0,11.0,47.0
01300836,26.0,41.0,42.0,109.0
01400937,12.0,0.0,7.0,19.0
01400938,7.0,21.0,18.0,46.0
01400939,3.0,0.0,4.0,7.0
01400940,2.0,16.0,8.0,26.0
01400942,12.0,13.0,10.0,35.0
01401043,3.0,0.0,4.0,7.0
01401044,11.0,0.0,10.0,21.0
01401045,9.0,28.0,14.0,51.0
01401046,10.0,27.0,13.0,50.0
01401047,10.0,0.0,12.0,22.0
01401048,10.0,0.0,8.0,18.0
01401049,14.0,16.0,20.0,50.0
02100101,25.0,22.0,31.0,78.0
02100102,32.0,40.0,32.0,104.0
02100103,7.0,0.0,4.0,11.0
02100104,35.0,32.0,21.0,88.0
02100105,14.0,0.0,14.0,28.0
02100106,20.0,19.0,20.0,59.0
02200207,7.0,46.0,5.0,58.0
02200208,35.0,26.0,43.0,104.0
02200209,31.0,0.0,35.0,66.0
02200210,45.0,43.0,51.0,139.0
02200211,15.0,21.0,23.0,59.0
02200212,21.0,0.0,16.0,37.0
02200213,17.0,36.0,18.0,71.0
02300314,45.0,41.0,23.0,109.0
02300315,23.0,55.0,30.0,108.0
02300316,18.0,0.0,26.0,44.0
02300417,9.0,0.0,11.0,20.0
02300418,6.0,11.0,13.0,30.0
02300419,16.0,23.0,9.0,48.0
02400520,3.0,5.0,4.0,12.0
02400521,50.0,26.0,44.0,120.0
02400522,12.0,9.0,22.0,43.0
02400623,43.0,45.0,32.0,120.0
02400624,10.0,3.0,7.0,20.0
02400625,28.0,34.0,28.0,90.0
02500726,12.0,23.0,18.0,53.0
02500727,34.0,0.0,35.0,69.0
02500728,17.0,61.0,14.0,92.0
02500729,10.0,0.0,5.0,15.0
02500830,12.0,34.0,21.0,67.0
02500831,7.0,0.0,10.0,17.0
02500832,11.0,0.0,13.0,24.0
02500833,37.0,0.0,20.0,57.0
02500834,12.0,42.0,17.0,71.0
02500835,16.0,21.0,8.0,45.0
