date_reported,total,total_moving_average
2021-01-01,4.0,54.0
2021-01-02,7.0,54.0
2021-01-03,3.0,4.666666666666667
2021-01-04,21.0,10.333333333333334
2021-01-05,31.0,18.333333333333332
2021-01-06,31.0,27.666666666666668
2021-01-07,22.0,28.0
2021-01-08,21.0,24.666666666666668
2021-01-09,22.0,21.666666666666668
2021-01-10,24.0,22.333333333333332
2021-01-11,41.0,29.0
2021-01-12,26.0,30.333333333333332
2021-01-13,25.0,30.666666666666668
2021-01-14,33.0,28.0
2021-01-15,30.0,29.333333333333332
2021-01-16,31.0,31.333333333333332
2021-01-17,30.0,30.333333333333332
2021-01-18,40.0,33.666666666666664
2021-01-19,33.0,34.333333333333336
2021-01-20,38.0,37.0
2021-01-21,37.0,36.0
2021-01-22,37.0,37.333333333333336
2021-01-23,27.0,33.666666666666664
2021-01-24,25.0,29.666666666666668
2021-01-25,36.0,29.333333333333332
2021-01-26,36.0,32.333333333333336
2021-01-27,34.0,35.333333333333336
2021-01-28,46.0,38.666666666666664
2021-01-29,36.0,38.666666666666664
2021-01-30,22.0,34.666666666666664
2021-01-31,22.0,26.666666666666668
2021-02-01,40.0,28.0
2021-02-02,30.0,30.666666666666668
2021-02-03,29.0,33.0
2021-02-04,34.0,31.0
2021-02-05,31.0,31.333333333333332
2021-02-06,17.0,27.333333333333332
2021-02-07,19.0,22.333333333333332
2021-02-08,22.0,19.333333333333332
2021-02-09,9.0,16.666666666666668
2021-02-10,20.0,17.0
2021-02-11,17.0,15.333333333333334
2021-02-12,9.0,15.333333333333334
2021-02-13,20.0,15.333333333333334
2021-02-14,17.0,15.333333333333334
2021-02-15,26.0,21.0
2021-02-16,28.0,23.666666666666668
2021-02-17,24.0,26.0
2021-02-18,32.0,28.0
2021-02-19,27.0,27.666666666666668
2021-02-20,29.0,29.333333333333332
2021-02-21,25.0,27.0
2021-02-22,56.0,36.666666666666664
2021-02-23,51.0,44.0
2021-02-24,43.0,50.0
2021-02-25,51.0,48.333333333333336
2021-02-26,30.0,41.333333333333336
2021-02-27,27.0,36.0
2021-02-28,29.0,28.666666666666668
2021-03-01,31.0,29.0
2021-03-02,39.0,33.0
2021-03-03,31.0,33.666666666666664
2021-03-04,45.0,38.333333333333336
2021-03-05,37.0,37.666666666666664
2021-03-06,27.0,36.333333333333336
2021-03-07,27.0,30.333333333333332
2021-03-08,43.0,32.333333333333336
2021-03-09,51.0,40.333333333333336
2021-03-10,57.0,50.333333333333336
2021-03-11,33.0,47.0
2021-03-12,40.0,43.333333333333336
2021-03-13,31.0,34.666666666666664
2021-03-14,33.0,34.666666666666664
2021-03-15,55.0,39.666666666666664
2021-03-16,39.0,42.333333333333336
2021-03-17,35.0,43.0
2021-03-18,33.0,35.666666666666664
2021-03-19,47.0,38.333333333333336
2021-03-20,30.0,36.666666666666664
2021-03-21,33.0,36.666666666666664
2021-03-22,51.0,38.0
2021-03-23,41.0,41.666666666666664
2021-03-24,53.0,48.333333333333336
2021-03-25,58.0,50.666666666666664
2021-03-26,49.0,53.333333333333336
2021-03-27,35.0,47.333333333333336
2021-03-28,36.0,40.0
2021-03-29,53.0,41.333333333333336
2021-03-30,57.0,48.666666666666664
2021-03-31,49.0,53.0
2021-04-01,30.0,45.333333333333336
2021-04-02,25.0,34.666666666666664
2021-04-03,29.0,28.0
2021-04-04,25.0,26.333333333333332
2021-04-05,31.0,28.333333333333332
2021-04-06,36.0,30.666666666666668
2021-04-07,44.0,37.0
2021-04-08,48.0,42.666666666666664
2021-04-09,40.0,44.0
2021-04-10,37.0,41.666666666666664
2021-04-11,34.0,37.0
2021-04-12,50.0,40.333333333333336
2021-04-13,54.0,46.0
2021-04-14,55.0,53.0
2021-04-15,52.0,53.666666666666664
2021-04-16,50.0,52.333333333333336
2021-04-17,38.0,46.666666666666664
2021-04-18,32.0,40.0
2021-04-19,56.0,42.0
2021-04-20,58.0,48.666666666666664
2021-04-21,55.0,56.333333333333336
2021-04-22,68.0,60.333333333333336
2021-04-23,54.0,59.0
2021-04-24,47.0,56.333333333333336
2021-04-25,47.0,49.333333333333336
2021-04-26,59.0,51.0
2021-04-27,65.0,57.0
2021-04-28,64.0,62.666666666666664
2021-04-29,65.0,64.66666666666667
2021-04-30,45.0,58.0
2021-05-01,36.0,48.666666666666664
2021-05-02,35.0,38.666666666666664
2021-05-03,57.0,42.666666666666664
2021-05-04,42.0,44.666666666666664
2021-05-05,50.0,49.666666666666664
2021-05-06,69.0,53.666666666666664
2021-05-07,42.0,53.666666666666664
2021-05-08,45.0,52.0
2021-05-09,26.0,37.666666666666664
2021-05-10,69.0,46.666666666666664
2021-05-11,55.0,50.0
2021-05-12,63.0,62.333333333333336
2021-05-13,30.0,49.333333333333336
2021-05-14,57.0,50.0
2021-05-15,31.0,39.333333333333336
2021-05-16,47.0,45.0
2021-05-17,55.0,44.333333333333336
2021-05-18,72.0,58.0
2021-05-19,64.0,63.666666666666664
2021-05-20,41.0,59.0
2021-05-21,55.0,53.333333333333336
2021-05-22,38.0,44.666666666666664
2021-05-23,37.0,43.333333333333336
2021-05-24,37.0,37.333333333333336
2021-05-25,71.0,48.333333333333336
2021-05-26,68.0,58.666666666666664
2021-05-27,64.0,67.66666666666667
2021-05-28,49.0,60.333333333333336
2021-05-29,35.0,49.333333333333336
2021-05-30,56.0,46.666666666666664
2021-05-31,69.0,53.333333333333336
2021-06-01,65.0,63.333333333333336
2021-06-02,61.0,65.0
2021-06-03,68.0,64.66666666666667
2021-06-04,52.0,60.333333333333336
2021-06-05,46.0,55.333333333333336
2021-06-06,49.0,49.0
2021-06-07,85.0,60.0
2021-06-08,73.0,69.0
2021-06-09,80.0,79.33333333333333
2021-06-10,62.0,71.66666666666667
2021-06-11,54.0,65.33333333333333
2021-06-12,56.0,57.333333333333336
2021-06-13,44.0,51.333333333333336
2021-06-14,95.0,65.0
2021-06-15,88.0,75.66666666666667
2021-06-16,83.0,88.66666666666667
2021-06-17,75.0,82.0
2021-06-18,66.0,74.66666666666667
2021-06-19,41.0,60.666666666666664
2021-06-20,54.0,53.666666666666664
2021-06-21,95.0,63.333333333333336
2021-06-22,69.0,72.66666666666667
2021-06-23,68.0,77.33333333333333
2021-06-24,68.0,68.33333333333333
2021-06-25,68.0,68.0
2021-06-26,53.0,63.0
2021-06-27,50.0,57.0
2021-06-28,63.0,55.333333333333336
2021-06-29,59.0,57.333333333333336
2021-06-30,40.0,54.0
2021-07-01,48.0,49.0
2021-07-02,54.0,47.333333333333336
2021-07-03,37.0,46.333333333333336
2021-07-04,47.0,46.0
2021-07-05,62.0,48.666666666666664
2021-07-06,66.0,58.333333333333336
2021-07-07,62.0,63.333333333333336
2021-07-08,54.0,60.666666666666664
2021-07-09,49.0,55.0
2021-07-10,35.0,46.0
2021-07-11,57.0,47.0
2021-07-12,86.0,59.333333333333336
2021-07-13,74.0,72.33333333333333
2021-07-14,75.0,78.33333333333333
2021-07-15,45.0,64.66666666666667
2021-07-16,52.0,57.333333333333336
2021-07-17,42.0,46.333333333333336
2021-07-18,54.0,49.333333333333336
2021-07-19,78.0,58.0
2021-07-20,69.0,67.0
2021-07-21,61.0,69.33333333333333
2021-07-22,60.0,63.333333333333336
2021-07-23,51.0,57.333333333333336
2021-07-24,57.0,56.0
2021-07-25,46.0,51.333333333333336
2021-07-26,69.0,57.333333333333336
2021-07-27,77.0,64.0
2021-07-28,71.0,72.33333333333333
2021-07-29,67.0,71.66666666666667
2021-07-30,52.0,63.333333333333336
2021-07-31,40.0,53.0
2021-08-01,48.0,46.666666666666664
2021-08-02,79.0,55.666666666666664
2021-08-03,76.0,67.66666666666667
2021-08-04,66.0,73.66666666666667
2021-08-05,69.0,70.33333333333333
2021-08-06,58.0,64.33333333333333
2021-08-07,38.0,55.0
