,date,total
0,2021-01-01,16.0
1,2021-01-02,16.0
2,2021-01-03,17.0
3,2021-01-04,33.0
4,2021-01-05,29.0
5,2021-01-06,37.0
6,2021-01-07,27.0
7,2021-01-08,34.0
8,2021-01-09,28.0
9,2021-01-10,31.0
10,2021-01-11,25.0
11,2021-01-12,32.0
12,2021-01-13,26.0
13,2021-01-14,45.0
14,2021-01-15,28.0
15,2021-01-16,32.0
16,2021-01-17,33.0
17,2021-01-18,31.0
18,2021-01-19,34.0
19,2021-01-20,51.0
20,2021-01-21,37.0
21,2021-01-22,33.0
22,2021-01-23,30.0
23,2021-01-24,15.0
24,2021-01-25,57.0
25,2021-01-26,37.0
26,2021-01-27,46.0
27,2021-01-28,34.0
28,2021-01-29,30.0
29,2021-01-30,29.0
30,2021-01-31,20.0
31,2021-02-01,29.0
32,2021-02-02,27.0
33,2021-02-03,36.0
34,2021-02-04,27.0
35,2021-02-05,28.0
36,2021-02-06,16.0
37,2021-02-07,15.0
38,2021-02-08,19.0
39,2021-02-09,9.0
40,2021-02-10,18.0
41,2021-02-11,12.0
42,2021-02-12,28.0
43,2021-02-13,16.0
44,2021-02-14,19.0
45,2021-02-15,32.0
46,2021-02-16,23.0
47,2021-02-17,21.0
48,2021-02-18,34.0
49,2021-02-19,43.0
50,2021-02-20,42.0
51,2021-02-21,31.0
52,2021-02-22,55.0
53,2021-02-23,38.0
54,2021-02-24,44.0
55,2021-02-25,48.0
56,2021-02-26,41.0
57,2021-02-27,32.0
58,2021-02-28,21.0
59,2021-03-01,35.0
60,2021-03-02,35.0
61,2021-03-03,39.0
62,2021-03-04,40.0
63,2021-03-05,45.0
64,2021-03-06,39.0
65,2021-03-07,30.0
66,2021-03-08,44.0
67,2021-03-09,43.0
68,2021-03-10,48.0
69,2021-03-11,33.0
70,2021-03-12,36.0
71,2021-03-13,44.0
72,2021-03-14,28.0
73,2021-03-15,40.0
74,2021-03-16,39.0
75,2021-03-17,36.0
76,2021-03-18,48.0
77,2021-03-19,44.0
78,2021-03-20,48.0
79,2021-03-21,31.0
80,2021-03-22,45.0
81,2021-03-23,46.0
82,2021-03-24,58.0
83,2021-03-25,52.0
84,2021-03-26,52.0
85,2021-03-27,39.0
86,2021-03-28,30.0
87,2021-03-29,48.0
88,2021-03-30,62.0
89,2021-03-31,35.0
90,2021-04-01,41.0
91,2021-04-02,22.0
92,2021-04-03,31.0
93,2021-04-04,24.0
94,2021-04-05,31.0
95,2021-04-06,37.0
96,2021-04-07,44.0
97,2021-04-08,52.0
98,2021-04-09,48.0
99,2021-04-10,42.0
100,2021-04-11,36.0
101,2021-04-12,45.0
102,2021-04-13,59.0
103,2021-04-14,53.0
104,2021-04-15,50.0
105,2021-04-16,60.0
106,2021-04-17,41.0
107,2021-04-18,32.0
108,2021-04-19,44.0
109,2021-04-20,55.0
110,2021-04-21,71.0
111,2021-04-22,57.0
112,2021-04-23,52.0
113,2021-04-24,60.0
114,2021-04-25,51.0
115,2021-04-26,53.0
116,2021-04-27,57.0
117,2021-04-28,58.0
118,2021-04-29,51.0
119,2021-04-30,57.0
120,2021-05-01,50.0
121,2021-05-02,33.0
122,2021-05-03,43.0
123,2021-05-04,45.0
124,2021-05-05,61.0
125,2021-05-06,60.0
126,2021-05-07,42.0
127,2021-05-08,43.0
128,2021-05-09,49.0
129,2021-05-10,57.0
130,2021-05-11,58.0
131,2021-05-12,60.0
132,2021-05-13,37.0
133,2021-05-14,49.0
134,2021-05-15,47.0
135,2021-05-16,41.0
136,2021-05-17,52.0
137,2021-05-18,60.0
138,2021-05-19,49.0
139,2021-05-20,65.0
140,2021-05-21,60.0
141,2021-05-22,50.0
142,2021-05-23,45.0
143,2021-05-24,50.0
144,2021-05-25,64.0
145,2021-05-26,56.0
146,2021-05-27,54.0
147,2021-05-28,54.0
148,2021-05-29,63.0
149,2021-05-30,47.0
150,2021-05-31,52.0
151,2021-06-01,61.0
152,2021-06-02,65.0
153,2021-06-03,72.0
154,2021-06-04,61.0
155,2021-06-05,78.0
156,2021-06-06,45.0
157,2021-06-07,61.0
158,2021-06-08,69.0
159,2021-06-09,75.0
160,2021-06-10,73.0
161,2021-06-11,87.0
162,2021-06-12,57.0
163,2021-06-13,53.0
164,2021-06-14,85.0
165,2021-06-15,91.0
166,2021-06-16,62.0
167,2021-06-17,82.0
168,2021-06-18,80.0
169,2021-06-19,58.0
170,2021-06-20,66.0
171,2021-06-21,68.0
172,2021-06-22,72.0
173,2021-06-23,70.0
174,2021-06-24,49.0
175,2021-06-25,69.0
176,2021-06-26,58.0
177,2021-06-27,40.0
178,2021-06-28,64.0
179,2021-06-29,40.0
180,2021-06-30,28.0
181,2021-07-01,36.0
182,2021-07-02,61.0
183,2021-07-03,66.0
184,2021-07-04,51.0
185,2021-07-05,54.0
186,2021-07-06,55.0
187,2021-07-07,55.0
188,2021-07-08,55.0
189,2021-07-09,60.0
190,2021-07-10,71.0
191,2021-07-11,55.0
192,2021-07-12,78.0
193,2021-07-13,54.0
194,2021-07-14,71.0
195,2021-07-15,48.0
196,2021-07-16,68.0
197,2021-07-17,56.0
198,2021-07-18,65.0
199,2021-07-19,61.0
200,2021-07-20,59.0
201,2021-07-21,57.0
202,2021-07-22,57.0
203,2021-07-23,74.0
204,2021-07-24,69.0
205,2021-07-25,51.0
206,2021-07-26,64.0
207,2021-07-27,68.0
208,2021-07-28,65.0
209,2021-07-29,63.0
210,2021-07-30,52.0
211,2021-07-31,60.0
212,2021-08-01,44.0
213,2021-08-02,66.0
214,2021-08-03,68.0
215,2021-08-04,54.0
216,2021-08-05,73.0
217,2021-08-06,64.0
218,2021-08-07,73.0
219,2021-08-08,55.0
220,2021-08-09,69.0
221,2021-08-10,67.0
222,2021-08-11,89.0
223,2021-08-12,83.0
224,2021-08-13,70.0
225,2021-08-14,69.0
226,2021-08-15,61.0
227,2021-08-16,81.0
228,2021-08-17,71.0
229,2021-08-18,81.0
230,2021-08-19,78.0
231,2021-08-20,91.0
232,2021-08-21,82.0
233,2021-08-22,49.0
234,2021-08-23,71.0
235,2021-08-24,79.0
236,2021-08-25,71.0
237,2021-08-26,73.0
238,2021-08-27,80.0
239,2021-08-28,56.0
240,2021-08-29,37.0
241,2021-08-30,60.0
242,2021-08-31,74.0
243,2021-09-01,92.0
244,2021-09-02,68.0
245,2021-09-03,82.0
246,2021-09-04,80.0
247,2021-09-05,49.0
248,2021-09-06,80.0
249,2021-09-07,83.0
250,2021-09-08,70.0
251,2021-09-09,69.0
252,2021-09-10,95.0
253,2021-09-11,70.0
254,2021-09-12,65.0
255,2021-09-13,85.0
256,2021-09-14,71.0
257,2021-09-15,76.0
258,2021-09-16,81.0
259,2021-09-17,80.0
260,2021-09-18,66.0
261,2021-09-19,58.0
262,2021-09-20,83.0
263,2021-09-21,77.0
264,2021-09-22,59.0
265,2021-09-23,72.0
266,2021-09-24,101.0
267,2021-09-25,70.0
268,2021-09-26,72.0
269,2021-09-27,81.0
270,2021-09-28,73.0
271,2021-09-29,76.0
272,2021-09-30,59.0
273,2021-10-01,63.0
274,2021-10-02,78.0
275,2021-10-03,55.0
276,2021-10-04,72.0
277,2021-10-05,65.0
278,2021-10-06,71.0
279,2021-10-07,83.0
280,2021-10-08,80.0
281,2021-10-09,60.0
282,2021-10-10,62.0
283,2021-10-11,68.0
284,2021-10-12,69.0
285,2021-10-13,68.0
286,2021-10-14,61.0
287,2021-10-15,67.0
288,2021-10-16,80.0
289,2021-10-17,66.0
290,2021-10-18,83.0
291,2021-10-19,86.0
292,2021-10-20,87.0
293,2021-10-21,61.0
294,2021-10-22,71.0
295,2021-10-23,65.0
296,2021-10-24,48.0
297,2021-10-25,60.0
298,2021-10-26,60.0
299,2021-10-27,82.0
300,2021-10-28,70.0
301,2021-10-29,77.0
302,2021-10-30,79.0
303,2021-10-31,65.0
304,2021-11-01,80.0
305,2021-11-02,62.0
306,2021-11-03,57.0
307,2021-11-04,47.0
308,2021-11-05,75.0
309,2021-11-06,66.0
310,2021-11-07,38.0
311,2021-11-08,72.0
312,2021-11-09,67.0
313,2021-11-10,78.0
314,2021-11-11,71.0
315,2021-11-12,75.0
316,2021-11-13,51.0
317,2021-11-14,51.0
318,2021-11-15,62.0
319,2021-11-16,59.0
320,2021-11-17,54.0
321,2021-11-18,65.0
322,2021-11-19,70.0
323,2021-11-20,62.0
324,2021-11-21,38.0
325,2021-11-22,77.0
326,2021-11-23,64.0
327,2021-11-24,64.0
328,2021-11-25,63.0
329,2021-11-26,59.0
330,2021-11-27,43.0
331,2021-11-28,41.0
332,2021-11-29,39.0
333,2021-11-30,42.0
334,2021-12-01,53.0
335,2021-12-02,48.0
336,2021-12-03,57.0
337,2021-12-04,35.0
338,2021-12-05,29.0
339,2021-12-06,38.0
340,2021-12-07,60.0
341,2021-12-08,42.0
342,2021-12-09,30.0
343,2021-12-10,43.0
344,2021-12-11,53.0
345,2021-12-12,30.0
346,2021-12-13,67.0
347,2021-12-14,55.0
348,2021-12-15,73.0
349,2021-12-16,54.0
350,2021-12-17,52.0
