district,LOR,street,LOR_2021,year,month,hour,weekday,category,accident_kind,accident_type,light_condition,car,pedestrian,motorcycle,goods_vehicle,others,road_condition,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
3,3020209.0,Niederschönhausen,3200206.0,2018,1,15,4,3,6,7,1,0,1,0,0,0,1,798261.3849,5835047.26,13.40322797,52.58347154
3,3071639.0,Bötzowstraße,3701660.0,2018,1,11,5,3,5,2,0,1,0,0,0,0,1,800551.721,5829808.492,13.43218628,52.53525526
2,2050602.0,Samariterviertel,2500729.0,2018,1,8,2,3,5,2,0,1,0,0,0,0,0,803320.7292,5827627.446,13.47089659,52.51417313
1,1011204.0,Leipziger Straße                                                                                    ,1100207.0,2018,1,19,4,3,5,7,2,1,0,0,0,0,1,798174.6913,5826939.978,13.39467345,52.51084845
9,9020601.0,Schnellerstraße                                                                                     ,9200613.0,2018,1,18,4,2,5,3,2,1,0,0,0,0,1,806109.6297,5821644.404,13.50637217,52.45899296
2,2040703.0,Wriezener Bahnhof/Entwicklungsgebiet,2400625.0,2018,1,11,7,3,6,4,0,0,1,0,0,0,0,801869.0006,5826509.17,13.44855444,52.50495533
1,1011102.0,Großer Tiergarten,1100102.0,2018,1,8,3,3,5,3,0,1,0,0,0,0,1,796672.8095,5827413.591,13.3730303,52.5159128
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,1,12,2,3,5,3,0,0,0,0,0,1,0,799649.926,5828435.566,13.41769328,52.52344572
3,3061434.0,Anton-Saefkow-Park,3601451.0,2018,1,8,2,3,6,4,0,0,1,0,0,0,0,800637.4113,5829909.787,13.43353746,52.53611592
2,2050602.0,Samariterviertel,2500727.0,2018,1,8,5,3,5,3,0,1,0,0,0,0,1,802120.6408,5828072.797,13.45367006,52.51883086
2,2040701.0,Andreasviertel,2400521.0,2018,1,8,5,2,5,3,0,1,0,0,0,0,1,800966.492,5827868.971,13.43652747,52.51764211
7,7020203.0,Kaiser-Wilhelm-Platz,7200411.0,2018,1,6,3,1,5,2,2,0,0,0,1,0,1,795793.405,5824123.78,13.35718628,52.48690005
3,3071639.0,Bötzowstraße,3701660.0,2018,1,11,6,3,1,5,0,1,0,0,0,0,0,800324.1264,5829441.41,13.42850921,52.53209046
7,7030303.0,Grazer Platz,7300619.0,2018,1,16,5,2,5,3,0,1,0,0,0,0,1,795573.439,5823307.799,13.35323275,52.47970452
7,7050502.0,Fritz-Werner-Straße                                                                                 ,7501133.0,2018,1,10,4,2,5,3,0,1,0,0,0,0,1,797451.0135,5817860.22,13.37594587,52.42985299
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,1,6,3,3,5,3,2,1,0,0,0,0,0,799651.4973,5828438.163,13.41771871,52.52346813
2,2050602.0,Samariterviertel,2500727.0,2018,1,10,7,2,5,3,0,1,0,0,0,0,0,802593.0932,5827685.553,13.46025955,52.51509809
10,10040830.0,Kaulsdorf Süd                                                                                       ,10400837.0,2018,1,15,5,3,5,2,0,1,0,0,0,0,0,810779.2625,5827081.119,13.57994696,52.505079
9,9020601.0,Schnellerstraße                                                                                     ,9200613.0,2018,1,8,2,3,5,2,0,1,0,0,0,0,0,806439.505,5821310.29,13.51090542,52.45581365
12,12231101.0,Hermsdorf,12400723.0,2018,1,6,5,3,5,2,0,1,0,0,0,0,1,791745.0419,5839577.954,13.31132041,52.62762084
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,11,18,2,3,3,6,2,1,0,0,0,0,0,799538.9712,5828289.734,13.41593143,52.52219952
7,7020202.0,Volkspark (Rudolf-Wilde-Park),7200308.0,2018,8,19,5,3,5,2,0,1,0,0,0,0,0,795496.134,5823347.6,13.35213303,52.48010314
1,1011202.0,Unter den Linden Nord,1100206.0,2018,10,22,6,3,1,5,2,1,0,0,0,0,0,798127.4824,5827658.786,13.39462387,52.51731745
2,2050602.0,Samariterviertel,2500728.0,2018,4,19,2,2,3,6,0,0,0,0,0,0,0,802924.6525,5827667.705,13.46511441,52.51475407
10,10030726.0,Alt-Biesdorf,10300733.0,2018,5,14,4,2,5,3,0,1,0,0,0,0,0,809148.2029,5827396.06,13.55628531,52.50882799
7,7010104.0,Dennewitzplatz,7100206.0,2018,4,21,4,3,2,6,2,1,0,0,0,0,0,796004.8627,5824581.312,13.36069776,52.49088684
7,7060601.0,Marienfelder Allee Nordwest,7601236.0,2018,3,17,1,3,5,2,0,1,0,0,0,0,0,796597.7717,5816000.138,13.36178399,52.41364202
7,7050501.0,Rathausstraße                                                                                       ,7501030.0,2018,8,17,6,3,5,3,0,1,0,0,0,0,0,798088.3878,5819263.717,13.38654429,52.44208694
2,2040503.0,Richard-Sorge-Viertel,2400522.0,2018,5,18,5,3,6,4,0,0,1,0,0,0,0,801669.5815,5827796.693,13.44679225,52.51660582
2,2050602.0,Samariterviertel,2500727.0,2018,7,15,7,3,9,1,0,0,0,0,0,0,0,802108.5723,5827991.558,13.45341896,52.5181094
2,2040703.0,Wriezener Bahnhof/Entwicklungsgebiet,2400625.0,2018,5,18,6,3,0,6,0,0,1,0,0,0,0,801871.5387,5826517.464,13.44859924,52.50502827
7,7060601.0,Marienfelder Allee Nordwest,7601236.0,2018,10,13,5,3,5,3,0,1,0,0,0,0,0,796597.9202,5816000.467,13.36178646,52.41364489
3,3061332.0,Helmholtzplatz,3701657.0,2018,12,18,6,3,5,7,2,1,0,0,0,0,1,799989.0712,5830222.718,13.42428982,52.53927808
1,1011304.0,Karl-Marx-Allee,1100311.0,2018,9,17,2,3,5,3,1,0,0,0,0,0,1,800013.4969,5828099.648,13.42273301,52.52023483
4,4020311.0,Reichsstraße,4200310.0,2018,6,15,3,3,1,5,0,1,0,0,0,0,0,789448.3906,5826205.97,13.26581496,52.50896847
2,2020202.0,Rathaus Yorckstraße,2200208.0,2018,3,8,6,3,6,6,0,0,1,0,0,0,0,797827.56,5824960.189,13.38780284,52.49329165
2,2040703.0,Wriezener Bahnhof/Entwicklungsgebiet,2400625.0,2018,11,19,7,3,6,7,2,0,1,0,0,0,0,801874.6782,5826527.725,13.44865466,52.5051185
12,12103117.0,Letteplatz,12100101.0,2018,3,17,6,3,5,3,1,1,0,0,0,0,0,795798.7263,5832512.018,13.36472555,52.56209019
3,3061131.0,Falkplatz,3601142.0,2018,12,5,1,3,6,4,2,0,1,0,0,0,1,799141.7426,5830378.27,13.41197365,52.54113816
3,2040501.0,Barnimkiez,2400520.0,2018,8,20,5,3,3,6,1,1,0,0,0,0,1,799987.6921,5828911.663,13.42308629,52.52752742
1,1033203.0,Humboldthain Nordwest                                                                               ,1300836.0,2018,7,16,3,3,0,7,0,0,0,0,0,1,0,796218.7227,5830206.263,13.36884623,52.54119318
3,3040818.0,Pankow Süd                                                                                          ,3400826.0,2018,6,16,5,2,0,2,0,1,0,0,0,0,0,799130.8742,5832326.68,13.41356905,52.55860859
3,3040513.0,Schönholz,3400620.0,2018,3,19,6,2,0,1,2,0,0,0,0,0,0,798007.0171,5833641.803,13.39822143,52.57101301
5,5040935.0,Groß-Glienicker Weg,5400942.0,2018,10,13,2,3,4,6,0,0,0,0,0,0,0,781461.3053,5824058.901,13.14662831,52.49389638
1,1011104.0,Körnerstraße                                                                                        ,1100104.0,2018,9,17,6,3,6,6,0,0,1,0,0,0,0,796184.2387,5825786.747,13.36440379,52.5015952
3,3071639.0,Bötzowstraße,3701660.0,2018,8,18,4,3,2,2,0,0,0,1,0,0,0,800552.5785,5829809.881,13.43220014,52.53526723
7,7020203.0,Kaiser-Wilhelm-Platz,7200411.0,2018,6,14,7,2,2,6,0,1,0,0,0,1,0,795941.4208,5824431.647,13.35963316,52.48957961
3,3061126.0,Arnimplatz,3601141.0,2018,4,20,3,3,6,4,2,0,1,0,0,0,0,799220.7936,5831455.351,13.41410612,52.5507491
3,3061131.0,Falkplatz,3601142.0,2018,12,9,6,3,3,6,0,0,0,0,0,0,0,799188.5493,5831266.128,13.4134615,52.54907073
2,2040703.0,Wriezener Bahnhof/Entwicklungsgebiet,2400625.0,2018,9,18,5,3,6,4,1,0,1,0,0,0,0,801866.412,5826500.71,13.44850875,52.50488094
10,10040933.0,Mahlsdorf Süd                                                                                       ,10400940.0,2018,7,16,5,3,0,2,0,1,0,0,0,0,0,812850.2596,5827180.95,13.610454,52.50479012
2,2050602.0,Samariterviertel,2500727.0,2018,7,9,5,3,5,2,0,1,0,0,0,0,1,802145.2699,5827751.633,13.45374027,52.51593863
3,3061434.0,Anton-Saefkow-Park,3601451.0,2018,11,6,4,3,5,3,2,1,0,0,0,0,1,800844.3521,5830326.415,13.43695649,52.53973604
10,10030726.0,Alt-Biesdorf,10300733.0,2018,8,13,6,3,5,2,0,1,0,0,0,0,0,808950.3753,5827441.234,13.55342162,52.50934489
7,7020203.0,Kaiser-Wilhelm-Platz,7200410.0,2018,7,14,2,3,3,6,0,1,0,0,0,0,0,795582.8375,5823907.561,13.3539025,52.48507585
11,11030721.0,Rüdigerstraße,11300722.0,2018,10,18,3,3,5,3,2,1,0,0,0,0,1,803759.4045,5827566.587,13.4772856,52.51338354
11,11030721.0,Rüdigerstraße,11300722.0,2018,6,17,2,3,5,2,0,1,0,0,0,0,0,803768.0676,5827581.825,13.47742678,52.5135153
1,1011201.0,Wilhelmstraße                                                                                       ,1100205.0,2018,5,8,5,3,2,4,0,0,1,0,0,0,0,797086.4113,5826738.581,13.37850496,52.50963693
2,2050602.0,Samariterviertel,2500728.0,2018,9,9,6,3,5,2,0,1,0,0,0,0,0,803082.7453,5827634.798,13.46740703,52.51437131
1,1011204.0,Leipziger Straße                                                                                    ,1100207.0,2018,9,20,7,3,1,5,2,1,0,0,0,1,0,798349.2259,5826953.001,13.39724929,52.51086976
3,3040513.0,Schönholz,3400620.0,2018,7,21,5,3,5,3,2,1,0,0,0,0,0,798015.7414,5833646.588,13.39835408,52.57105112
2,2050602.0,Samariterviertel,2500728.0,2018,3,10,3,3,6,4,0,0,1,0,0,0,0,802921.0509,5827668.071,13.46506183,52.51475935
3,3061332.0,Helmholtzplatz,3701657.0,2018,5,14,6,3,5,2,0,1,0,0,0,0,0,799968.493,5830202.416,13.42396899,52.53910744
