,date_reported,date_theft_start,hour_theft_start,date_theft_end,hour_theft_end,LOR,estimated_value,attempt,type_bike,theft_type,theft_type_detail,Weekday_theft_start
0,2022-03-02,2022-02-23,19,2022-02-23,22,08100208,624.0,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,3-Wed
1,2022-03-02,2022-03-01,9,2022-03-01,15,01100102,1408.0,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2-Tue
2,2022-03-02,2022-03-01,8,2022-03-01,21,02500727,900.0,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2-Tue
3,2022-03-02,2022-02-21,18,2022-02-21,20,01100414,2200.0,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1-Mon
4,2022-03-02,2022-03-01,17,2022-03-02,8,03601141,1316.0,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2-Tue
5,2022-03-02,2022-03-01,18,2022-03-02,11,04300413,739.0,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2-Tue
6,2022-03-02,2022-03-01,21,2022-03-02,10,05200631,1000.0,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2-Tue
7,2022-03-02,2022-02-28,18,2022-03-02,9,07200414,2500.0,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1-Mon
8,2022-03-02,2022-02-28,9,2022-03-02,8,07200414,0.0,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1-Mon
9,2022-03-02,2022-02-27,12,2022-03-02,11,03701659,1100.0,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7-Sun
