OBJECTID;LAND;BEZ;LOR;STRASSE;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
112695;11;2;2050602;Samariterviertel;2500729;2018;1;15;4;3;6;4;0;0;1;1;0;0;0;1;803604,1562;5827580,738;13,4750178;52,51359681
112705;11;12;12304314;Ziekowstraße/Freie Scholle;12500824;2018;1;11;2;3;2;6;0;0;1;0;0;0;0;0;790639,5854;5835009,589;13,29102205;52,58725906
112726;11;2;2040501;Barnimkiez;2400520;2018;1;9;3;3;6;4;0;0;1;1;0;0;0;0;799827,9618;5828733,523;13,42057818;52,52601854
112737;11;7;7020202;Volkspark (Rudolf-Wilde-Park);7200308;2018;1;17;2;3;6;7;2;0;1;1;0;0;0;0;795223,509;5823525,402;13,34828776;52,48184447
112747;11;3;3020209;Niederschönhausen;3200206;2018;1;15;4;3;6;7;1;1;0;1;0;0;0;1;798261,3849;5835047,26;13,40322797;52,58347154
112770;11;10;10010206;Ringkolonnaden;10100208;2018;1;5;2;2;2;6;2;0;1;0;0;0;0;0;808320,0275;5832060,055;13,54844656;52,5510946
112792;11;4;4061757;Forst Grunewald;4200207;2018;1;17;2;3;2;6;2;0;1;0;0;0;1;1;788961,8201;5823583,542;13,25639043;52,48571541
112805;11;3;3010104;Lietzengraben;3100101;2018;1;16;5;3;2;6;2;0;1;0;0;0;0;1;799543,5822;5840743,375;13,42725182;52,63382261
112820;11;1;1011303;Alexanderplatzviertel;1100310;2018;1;14;2;3;6;4;0;0;1;1;0;0;0;0;799255,9754;5827907,973;13,41142938;52,51893299
112837;11;12;12103218;Teichstraße;12100205;2018;1;21;7;3;0;1;2;0;0;0;1;0;0;1;794735,9234;5833763,947;13,35020475;52,57388905
112848;11;1;1011303;Alexanderplatzviertel;1100310;2018;1;17;3;3;2;6;2;0;1;0;0;0;0;1;799698,6291;5828456,085;13,41842748;52,52360287
112862;11;7;7040403;Manteuffelstraße                                                                                    ;7400823;2018;1;16;4;3;2;6;2;0;1;0;0;0;0;1;797300,7087;5822341,224;13,37773011;52,47010259
112892;11;3;3071639;Bötzowstraße;3701660;2018;1;11;5;3;5;2;0;1;1;0;0;0;0;1;800551,721;5829808,492;13,43218628;52,53525526
112902;11;2;2050602;Samariterviertel;2500729;2018;1;8;2;3;5;2;0;1;1;0;0;0;0;0;803320,7292;5827627,446;13,47089659;52,51417313
112921;11;1;1011204;Leipziger Straße                                                                                    ;1100207;2018;1;19;4;3;5;7;2;1;1;0;0;0;0;1;798174,6913;5826939,978;13,39467345;52,51084845
112937;11;3;3061429;Greifswalder Straße;3601449;2018;1;6;5;3;5;2;2;0;1;0;0;0;0;0;801321,3169;5831010,369;13,44458831;52,54560285
112947;11;9;9020601;Schnellerstraße                                                                                     ;9200613;2018;1;18;4;2;5;3;2;1;1;0;0;0;0;1;806109,6297;5821644,404;13,50637217;52,45899296
112957;11;5;5020524;Weinmeisterhornweg;5200528;2018;1;15;1;3;5;3;0;0;1;0;0;0;0;0;783456,9675;5826649,548;13,17815056;52,51609207
112980;11;7;7040403;Manteuffelstraße                                                                                    ;7400823;2018;1;13;3;3;3;6;0;0;1;0;0;1;0;0;797280,6469;5822341,794;13,37743615;52,47011861
112992;11;2;2040703;Wriezener Bahnhof/Entwicklungsgebiet;2400625;2018;1;11;7;3;6;4;0;1;0;1;0;0;0;0;801869,0006;5826509,17;13,44855444;52,50495533
113009;11;1;1011102;Großer Tiergarten;1100102;2018;1;8;3;3;5;3;0;1;1;0;0;0;0;1;796672,8095;5827413,591;13,3730303;52,5159128
113020;11;12;12304314;Ziekowstraße/Freie Scholle;12500824;2018;1;7;6;3;0;7;1;0;0;0;1;0;0;1;790106,503;5836069,675;13,28410402;52,5970472
113046;11;7;7050502;Fritz-Werner-Straße                                                                                 ;7501133;2018;1;15;2;3;0;3;0;0;1;0;0;0;1;0;797631,464;5818590,607;13,37924233;52,43630206
113058;11;3;3061131;Falkplatz;3601142;2018;1;10;5;3;6;2;0;0;0;1;0;0;1;1;799177,0292;5830362,026;13,41247778;52,54097318
113087;11;3;3050923;Weißenseer Spitze;3500934;2018;1;9;4;3;1;5;0;0;1;0;0;1;0;1;800276,8143;5831846,668;13,42998793;52,55367547
113110;11;7;7040403;Manteuffelstraße                                                                                    ;7400825;2018;1;0;1;2;2;6;2;0;1;0;0;0;0;0;797874,63;5820482,662;13,38449562;52,45312998
113121;11;3;3061131;Falkplatz;3601142;2018;1;14;4;3;0;6;0;0;0;0;1;0;1;1;799207,1836;5831162,846;13,41364244;52,54813473
113151;11;1;1011303;Alexanderplatzviertel;1100310;2018;1;17;4;2;2;6;2;0;1;0;0;0;0;1;799707,8377;5828471,915;13,41857706;52,5237397
113164;11;1;1033203;Humboldthain Nordwest                                                                               ;1300836;2018;1;22;6;3;2;6;2;0;1;0;0;0;0;0;796184,661;5830195,038;13,36833544;52,54111108
113175;11;1;1011303;Alexanderplatzviertel;1100310;2018;1;9;3;3;2;6;0;0;1;0;0;0;1;0;799268,9196;5827909,151;13,41162064;52,51893645
113194;11;1;1011303;Alexanderplatzviertel;1100310;2018;1;17;5;3;3;6;2;0;1;0;0;0;0;1;799242,726;5827890,347;13,41121885;52,51878227
113205;11;12;12231101;Hermsdorf;12400723;2018;1;7;3;3;6;2;1;0;1;1;0;0;0;2;792159,9652;5838427,271;13,31641633;52,61708257
113215;11;4;4010101;Jungfernheide;4100101;2018;1;13;1;3;2;6;0;0;1;0;0;0;0;0;790854,7916;5828944,005;13,28887346;52,53276686
113235;11;1;1011303;Alexanderplatzviertel;1100310;2018;1;12;2;3;5;3;0;1;0;0;0;0;1;0;799649,926;5828435,566;13,41769328;52,52344572
113255;11;4;4030417;Schloßstraße;4300414;2018;1;19;4;3;2;6;2;0;1;0;0;0;0;0;791779,8953;5826580,804;13,30039993;52,51108677
113267;11;3;3061434;Anton-Saefkow-Park;3601451;2018;1;8;2;3;6;4;0;1;0;1;0;0;0;0;800637,4113;5829909,787;13,43353746;52,53611592
113277;11;2;2050602;Samariterviertel;2500727;2018;1;8;5;3;5;3;0;1;1;0;0;0;0;1;802120,6408;5828072,797;13,45367006;52,51883086
113302;11;4;4010101;Jungfernheide;4100101;2018;1;6;2;3;2;6;1;0;1;0;0;0;0;0;791408,8416;5830549,662;13,29842668;52,54686536
113314;11;2;2040701;Andreasviertel;2400521;2018;1;8;5;2;5;3;0;1;1;0;0;0;0;1;800966,492;5827868,971;13,43652747;52,51764211
113324;11;7;7020203;Kaiser-Wilhelm-Platz;7200411;2018;1;6;3;1;5;2;2;1;0;0;0;1;0;1;795793,405;5824123,78;13,35718628;52,48690005
113335;11;3;3040818;Pankow Süd                                                                                          ;3400830;2018;1;15;5;3;6;3;0;0;1;1;0;0;0;0;800036,825;5833449,289;13,42790784;52,56817242
113351;11;7;7040405;Rathaus Tempelhof;7400927;2018;1;19;2;3;3;6;2;0;1;0;0;0;0;0;797915,041;5822365,976;13,38676944;52,46998979
113369;11;3;3020307;Buchholz;3200309;2018;1;22;7;3;2;6;2;0;1;0;0;0;0;0;801037,5087;5836796,519;13,44566793;52,59762124
113380;11;3;3040818;Pankow Süd                                                                                          ;3400826;2018;1;19;3;3;2;6;2;0;1;0;0;0;0;0;799132,3423;5832324,402;13,41358859;52,55858737
113425;11;3;3071639;Bötzowstraße;3701660;2018;1;11;6;3;1;5;0;1;1;0;0;0;0;0;800324,1264;5829441,41;13,42850921;52,53209046
113437;11;4;4041134;Bismarckallee;4400726;2018;1;10;2;3;3;6;0;0;1;0;0;0;0;0;790711,8068;5824956,191;13,28328727;52,49709232
113456;11;12;12231102;Frohnau;12400721;2018;1;12;4;3;2;6;0;0;1;0;0;0;1;1;791035,8465;5841190,008;13,30229234;52,64245276
