OBJECTID;LAND;BEZ;LOR;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
3187;11;8;8010510;8100521;2020;1;11;4;2;3;6;0;0;1;0;0;1;0;1;802599,5332;5821795,373;13,45500598;52,4623009
3198;11;4;4041137;4400727;2020;1;2;3;2;9;1;2;0;0;0;0;1;0;1;791264,2064;5824629,955;13,29111618;52,49387309
3215;11;4;4041239;4400830;2020;1;7;1;3;0;1;1;0;0;0;0;0;1;1;792294,8083;5823598,115;13,30534822;52,48407191
3224;11;2;2040502;2400521;2020;1;22;6;2;1;5;2;0;1;0;0;0;0;0;801024,2746;5827862,923;13,43737099;52,517556
3241;11;4;4041137;4400727;2020;1;17;1;3;0;1;2;0;0;0;1;0;0;1;791889,2861;5824003,006;13,29974796;52,48791866
3252;11;7;4051655;4501153;2020;1;14;6;3;2;6;0;0;1;0;0;0;0;0;794432,645;5823090,628;13,33629164;52,47837396
3274;11;7;7010104;7100205;2020;1;13;2;3;0;4;0;0;0;1;0;0;1;0;796076,5121;5825501,675;13,36256795;52,49909824
3290;11;7;7040401;7400721;2020;1;15;7;2;1;1;0;0;1;0;0;0;0;0;797817,4941;5822978,17;13,38588423;52,47553062
3299;11;3;3020209;3200206;2020;1;13;5;3;2;6;0;0;1;0;0;0;0;0;797966,8713;5834349,85;13,39826708;52,57738163
3303;11;1;1044102;1400940;2020;1;9;1;3;5;3;0;0;1;0;0;0;0;0;795861,6732;5832069,458;13,36525689;52,55808889
3317;11;9;9010101;9100101;2020;2;12;7;3;2;2;0;0;0;0;1;0;1;1;802583,1096;5825087,422;13,4577519;52,4918167
3319;11;4;4051656;4501151;2020;1;17;5;3;2;1;2;0;1;0;0;0;0;0;793807,1471;5822990,931;13,32702026;52,47781709
3331;11;4;4030417;4300414;2020;1;11;5;3;0;1;0;1;0;0;0;0;0;0;790874,0987;5826433,469;13,28696175;52,51024968
3355;11;4;4041134;4400726;2020;1;15;2;3;5;3;0;0;1;0;0;1;0;0;791232,2324;5824618,511;13,29063655;52,49378756
3359;11;1;1011102;1100102;2020;1;15;5;3;5;2;0;0;1;0;0;0;0;1;796455,757;5827391,142;13,369821;52,51582959
3375;11;2;2040503;2400522;2020;1;18;4;3;3;6;1;1;0;0;0;0;0;0;801378,4835;5827810,514;13,44252783;52,51689063
3379;11;12;12214125;12200414;2020;1;14;5;2;3;7;0;0;1;0;0;1;0;1;792044,2355;5831732,822;13,30881102;52,55713178
3391;11;1;1011303;1100310;2020;1;10;6;3;5;2;0;0;1;0;0;0;0;0;799768,5723;5828638,757;13,41961997;52,52520178
3407;11;2;2050803;2500835;2020;1;21;4;3;6;7;2;1;0;1;0;0;0;0;802187,5376;5826095,955;13,45285824;52,50107535
3435;11;5;5020629;5200634;2020;1;15;4;3;2;6;0;0;1;0;0;0;1;1;785178,3964;5826270,143;13,20312525;52,5117929
3446;11;3;3061435;3601452;2020;1;7;3;3;0;7;0;0;1;0;0;0;1;1;801405,1689;5829211,406;13,44418945;52,52943224
3468;11;6;6040701;6400735;2020;1;11;4;3;5;2;0;0;1;0;0;0;0;0;783890,4577;5815953,473;13,17542061;52,41996231
3483;11;7;7060601;7601236;2020;1;9;3;2;6;2;0;0;0;1;0;1;0;0;796608,1696;5815999,343;13,36193572;52,41362926
3511;11;3;3050925;3500936;2020;1;7;3;3;3;6;0;1;1;0;0;0;0;0;801552,2215;5831199,582;13,44815487;52,54717101
3522;11;3;3051017;3501037;2020;1;17;3;3;5;3;2;0;1;0;0;0;0;1;802859,8699;5833044,121;13,46906298;52,56297781
3539;11;1;1011303;1100310;2020;1;13;1;3;5;3;0;0;1;0;0;0;0;0;799118,0977;5827655,463;13,4091764;52,51674525
3548;11;1;1011201;1100205;2020;1;18;5;3;4;6;2;1;0;0;0;0;1;0;797028,3594;5826728,597;13,37764319;52,50957906
3561;11;4;4020310;4200308;2020;1;6;3;3;3;6;2;0;1;0;0;1;0;1;790458,6486;5828436,725;13,28260654;52,52843034
3586;11;11;11030721;11300722;2020;1;4;2;3;6;2;2;0;1;1;0;0;0;1;803722,92;5827570,012;13,47675274;52,51343456
3597;11;6;6030503;6300527;2020;1;3;1;3;3;6;2;0;1;0;0;0;1;1;789808,7132;5818015,711;13,26399353;52,43534916
3621;11;7;7040405;7400927;2020;1;9;4;3;3;6;0;0;1;0;0;1;0;0;798049,1699;5822320,881;13,3886979;52,4695124
3625;11;4;4030417;4300414;2020;1;15;7;3;1;5;0;0;1;0;1;0;0;0;791597,6109;5826550,18;13,29769472;52,51090969
3637;11;12;12301203;12500930;2020;1;15;6;3;3;6;0;0;1;0;0;0;0;0;794257,3212;5834723,198;13,34401431;52,58274696
3639;11;1;1011303;1100310;2020;1;3;4;2;6;4;2;0;1;1;0;0;0;0;799335,348;5827943,997;13,41262809;52,51921233
3659;11;1;1011303;1100310;2020;1;16;6;3;2;6;2;0;1;0;0;0;0;1;799595,725;5828279,342;13,41675606;52,52207519
3670;11;4;4051551;4501148;2020;1;22;5;3;2;6;2;0;1;0;0;0;0;0;792594,6389;5823376,737;13,30955669;52,48192672
3694;11;3;3061332;3701657;2020;1;6;4;3;5;2;2;0;1;0;0;0;0;0;799987,5251;5830197,245;13,4242441;52,53905061
3698;11;12;12231101;12400723;2020;1;11;5;3;5;3;0;1;1;0;0;0;0;1;792115,943;5837984,848;13,31537724;52,61314013
3710;11;3;3020209;3200206;2020;1;16;5;2;0;7;0;1;0;0;0;0;0;0;798320,8847;5834768,94;13,40385303;52,5809442
3725;11;4;4010101;4100101;2020;1;17;3;3;2;6;2;0;1;0;0;0;0;0;791223,0602;5829667,258;13,29492109;52,53905409
3750;11;1;1011201;1100205;2020;1;8;5;3;2;6;0;0;1;0;0;0;0;0;797171,9247;5826753,41;13,37977451;52,50972329
3775;11;4;4010102;4100101;2020;1;14;1;2;2;6;0;0;1;0;0;0;0;0;793319,9606;5829675,824;13,32575802;52,53800624
3779;11;12;12302211;12601031;2020;1;13;5;3;5;3;0;0;1;0;0;0;0;1;793276,0149;5836659,131;13,33128678;52,60063121
3790;11;1;1011304;1100311;2020;1;17;4;3;0;5;2;1;1;0;0;0;0;1;800034,9887;5828061,909;13,42301478;52,51988474
3807;11;1;1044203;1401049;2020;1;7;3;3;1;5;1;1;1;0;0;0;0;0;795973,3359;5831518,403;13,36640787;52,55308856
3833;11;3;3020209;3200205;2020;1;12;3;3;1;5;0;1;1;0;0;0;0;1;798188,6638;5835349,635;13,40242993;52,58622174
3845;11;7;7050501;7501029;2020;1;16;3;3;6;2;1;0;0;1;0;0;1;1;797710,9623;5818790,6;13,38058644;52,43805153
3853;11;10;10010309;10100312;2020;1;12;4;3;1;5;0;0;1;0;0;0;1;1;807986,6474;5828789,724;13,54051453;52,52197488
3865;11;1;1011201;1100205;2020;1;18;3;3;0;1;2;0;1;0;1;0;0;1;797119,5843;5826744,285;13,37899741;52,50967
3882;11;4;4030724;4300415;2020;1;17;2;3;3;6;2;0;1;0;0;1;0;0;790764,2708;5826359,639;13,2852835;52,50964634
3891;11;10;10010308;10100311;2020;1;6;6;2;0;1;2;0;0;0;1;0;0;2;808088,4889;5827457,435;13,54077723;52,5099775
3908;11;4;4020314;4200311;2020;1;19;1;3;5;3;2;0;1;0;0;1;0;0;790519,1768;5825545,669;13,28097194;52,50247963
3920;11;4;4041239;4400830;2020;1;15;6;3;2;6;0;0;1;0;0;1;0;0;792209,9302;5823675,634;13,3041698;52,48481229
3943;11;2;2050602;2500727;2020;1;22;4;3;5;3;2;0;1;0;0;0;0;0;802148,0354;5827738,762;13,45376921;52,51582173
3956;11;4;4030622;4300621;2020;1;15;7;3;5;7;0;0;1;0;0;0;0;0;792127,1536;5826660,657;13,3055724;52,51161677
3965;11;4;4020313;4200311;2020;1;18;5;3;3;6;0;0;1;0;0;0;1;0;790590,2974;5826406,083;13,28276782;52,51015542
3983;11;3;3020203;3200204;2020;1;13;6;3;5;2;0;1;1;0;0;0;0;1;797167,5465;5838892,976;13,39058326;52,61854174
3996;11;9;9010402;9100409;2020;1;12;5;3;2;6;0;0;1;0;0;0;1;0;806703,7493;5818241,336;13,51196554;52,42816033
4020;11;4;4010101;4100101;2020;1;5;3;3;2;6;2;0;1;0;0;0;0;0;791154,8865;5829495,492;13,29376824;52,53755066
4024;11;5;5040935;5400942;2020;1;15;5;3;2;6;0;0;1;0;0;0;0;1;781786,9022;5824489,172;13,15177549;52,49758644
4036;11;7;7040402;7400822;2020;1;14;4;2;2;6;0;0;1;0;0;0;0;0;796528,5854;5822533,066;13,36656709;52,47224193
4046;11;7;7060604;7601341;2020;1;7;6;3;5;3;2;1;1;0;0;0;0;1;796302,5404;5815089,353;13,35664989;52,40563733
4058;11;4;4020313;4200311;2020;1;11;6;3;2;6;0;0;1;0;0;0;0;0;790730,6163;5826868,431;13,2852335;52,51422561
4074;11;3;3020209;3200206;2020;1;17;5;3;2;6;1;0;1;0;0;0;0;0;798242,5456;5834740,87;13,40267503;52,58073554
