Zählstelle;Beschreibung - Fahrtrichtung;Breitengrad;Längengrad;Installationsdatum
12-PA-SCH;Schwedter Steg;52,54883554;13,40036684;3/1/12
02-MI-JAN-N;Jannowitzbrücke Nord;52,51393216;13,41783461;4/1/15
02-MI-JAN-S;Jannowitzbrücke Süd;52,51394299;13,41761107;4/1/15
13-CW-PRI;Prinzregentenstraße;52,48813558;13,33311991;4/1/15
18-TS-YOR-O;Yorckstraße Ost;52,49193796;13,37347227;4/1/15
18-TS-YOR-W;Yorkstraße West;52,49228000;13,37321000;4/1/15
19-TS-MON;Monumentenstraße;52,48811700;13,36978500;5/1/15
27-RE-MAR;Markstraße;52,55819000;13,36494350;5/1/15
03-MI-SAN-O;Invalidenstraße Ost;52,52717690;13,37201589;6/1/15
03-MI-SAN-W;Invalidenstraße West;52,52768602;13,37310486;6/1/15
05-FK-OBB-O;Oberbaumbrücke Ost;52,50119887;13,44506049;6/1/15
05-FK-OBB-W;Oberbaumbrücke West;52,50127561;13,44486737;6/1/15
26-LI-PUP;Paul-und-Paula-Uferweg;52,50025000;13,47438000;6/1/15
24-MH-ALB;Alberichstraße;52,49250000;13,55849000;7/1/15
10-PA-BER-N;Berliner Straße Nord;52,56692362;13,41248937;5/1/16
10-PA-BER-S;Berliner Straße Süd;52,56681286;13,41216649;5/1/16
15-SP-KLO-S;Klosterstraße Süd;52,53330769;13,19848797;5/1/16
15-SP-KLO-N;Klosterstraße Nord;52,53351245;13,19905274;6/1/16
17-SK-BRE-O;Breitenbachplatz Ost;52,46676019;13,30916477;5/1/16
17-SK-BRE-W;Breitenbachplatz West;52,46721544;13,30836008;5/1/16
20-TS-MAR-N;Mariendorfer Damm Nord;52,43789423;13,38784530;5/1/16
20-TS-MAR-S;Mariendorfer Damm Süd;52,43819206;13,38798692;5/1/16
21-NK-MAY;Maybachufer;52,49300000;13,42900000;5/1/16
23-TK-KAI;Kaisersteg;52,45727000;13,51870000;5/1/16
06-FK-FRA-O;Frankfurter Allee Ost;52,51358400;13,47424200;6/1/16
06-FK-FRA-W;Frankfurter Allee West;52,51379000;13,47441400;6/1/16
06-CW-JU-O;Straße des 17. Juni Ost;52,51259000;13,32663000;7/27/21
06-CW-JU-W;Straße des 17. Juni West;52,51313259;13,32684517;7/27/21
02-MI-AL-W;Karl-Marx-Allee;52,52190716;13,41753602;12/16/21
