techn. Schlüssel (UUID),Planungsraum (Nummer),Planungsraum (Name),Bezirksregion (Nummer),Bezirksregion (Name),Prognoseraum (Nummer),Prognoseraum (Name),Bezirk,Fläche in qm,Stand der Daten
94752AD5-9BE6-4520-A3C7-F593BB45C7D5,01100101,Stülerstraße,011001,Tiergarten Süd,0110,Zentrum,Mitte,366933.12,01.01.2021
37FF656B-0F82-443E-B158-2DB4875E17E4,01100102,Großer Tiergarten,011001,Tiergarten Süd,0110,Zentrum,Mitte,3919852.22,01.12.2021
58310131-28AD-417D-BE5C-8F053EDF659C,01100103,Lützowstraße,011001,Tiergarten Süd,0110,Zentrum,Mitte,547183.23,01.12.2021
6F1D87F9-ED0E-4D5A-A4A5-F7FCCD2A3353,01100104,Körnerstraße,011001,Tiergarten Süd,0110,Zentrum,Mitte,338513.95,01.12.2021
7C27D970-B516-4306-890E-B7ACC84D310E,01100205,Wilhelmstraße,011002,Regierungsviertel,0110,Zentrum,Mitte,634656.82,01.01.2021
67912D2E-06F5-44C0-BB29-66C0E11FA88E,01100206,Unter den Linden,011002,Regierungsviertel,0110,Zentrum,Mitte,1297220.38,01.01.2021
FECC24DC-F446-4FE1-8655-A5CDAC9EA98D,01100207,Leipziger Straße,011002,Regierungsviertel,0110,Zentrum,Mitte,763632.87,01.01.2021
69228EE7-39B1-4EF7-A5BD-06A22E73BCA5,01100308,Charitéviertel,011003,Alexanderplatz,0110,Zentrum,Mitte,1682630.37,01.01.2021
362CC63E-716E-4320-AB44-13006E42436E,01100309,Oranienburger Straße,011003,Alexanderplatz,0110,Zentrum,Mitte,1011360.28,01.01.2021
6E891F34-2C66-4DD6-9947-6DB074770AA6,01100310,Alexanderplatzviertel,011003,Alexanderplatz,0110,Zentrum,Mitte,1365179.02,01.01.2021
92E85894-A860-4209-BD95-D105D98BD187,01100311,Karl-Marx-Allee,011003,Alexanderplatz,0110,Zentrum,Mitte,807969.28,01.01.2021
EEBEF655-D91E-4609-B0F1-BE5486805376,01100312,Heine-Viertel West,011003,Alexanderplatz,0110,Zentrum,Mitte,643620.27,01.01.2021
2C5FE143-24CE-40CF-9215-E148754ECB51,01100313,Heine-Viertel Ost,011003,Alexanderplatz,0110,Zentrum,Mitte,718074.52,01.01.2021
330E7F12-6AFB-4AE0-91A3-57FFF54E337D,01100414,Nordbahnhof,011004,Brunnenstraße Süd,0110,Zentrum,Mitte,373032.14,01.01.2021
489575DB-F2D2-4D51-A2C6-D99B6ACB92D0,01100415,Invalidenstraße,011004,Brunnenstraße Süd,0110,Zentrum,Mitte,780156.01,01.01.2021
2C418A10-D5AF-48AF-BC9F-1D3BEB72060D,01100416,Arkonaplatz,011004,Brunnenstraße Süd,0110,Zentrum,Mitte,602008.98,01.01.2021
1E786328-5269-4043-BC7E-2DF321407971,01200517,Huttenkiez,012005,Moabit West,0120,Moabit,Mitte,2484997.12,01.01.2021
0E2716C3-CF6E-4D5F-AF52-03567DFD5645,01200518,Beusselkiez,012005,Moabit West,0120,Moabit,Mitte,236852.70,01.01.2021
